,tweet_id
1,518574070976512000
2,520586635424305152
3,520166216439431168
4,517669498481291264
5,521932367452069889
6,518717535777460224
7,524337325166567424
8,517842293823262722
9,524785350540275712
10,527204474079940608
11,518067605643722753
12,524911886597652480
13,517525037033603072
14,526027974928531456
15,517895223218044928
16,517301677511045121
17,525830099996663808
18,521189904479682560
19,517837154412949505
20,517101677712007168
21,517103420856340480
22,517107565785001984
23,527605079579570176
24,524038535998107648
25,524039526462005249
26,524039947339456512
27,522061313246117889
28,524452465153179648
29,517488016768925698
30,517492858060677121
31,522015459189989377
32,526752345586016256
33,517655214032437248
34,517123238241902593
35,521741783118905344
36,520148525800488960
37,523612428136112129
38,521475243899359234
39,517642935400402944
40,526977845415792641
41,528020855042084864
42,517902086303133696
43,519565870599643137
44,518919907552284673
45,522703994918289408
46,523290234046275584
47,518626972310589440
48,527843678845669376
49,534904371138416640
50,528402208023646208
51,530067231544451072
52,538172438291693568
53,535648991170822144
54,530255079543431168
55,538051568507957248
56,530033844792356864
57,531541301893033987
58,530377513584066560
59,537097864930148352
60,528755119228076034
61,528755244935962624
62,531553359179026432
63,535536750316498944
64,532754790917238784
65,535268214167863296
66,532046999865262080
67,534486793559998464
68,537750817403850753
69,528671308536897536
70,537883288808202241
71,532161840563118080
72,531925211579703296
73,529148548680409089
74,529254946794135552
75,536721729222361088
76,530490864322482176
77,536323933780602880
78,529374879326277632
79,535999923742056448
80,530644288171167745
81,529783824662532096
82,536388242409418752
83,531672729364463617
84,539505061932437504
85,549244624133685249
86,547868499356295169
87,548582237504278529
88,544878782830878721
89,544217103050354688
90,543691875434385408
91,546454987874660352
92,543867722556526592
93,542866600911986688
94,539442068914188288
95,547913790428577793
96,546522082805563392
97,545319827569909760
98,545091174877659136
99,546425231925981184
100,541996050681438208
101,544696737697255425
102,547244445692067841
103,540578450999103488
104,550019633873711104
105,539419531152986112
106,550422602976874496
107,539902486190899200
108,539938600901541888
109,541125414090186753
110,550054450581471232
111,548984264541601792
112,539220159593205761
113,544178683658121216
114,541397259619807234
115,555047447761022976
116,558323599954964480
117,556128894462722048
118,552625292033142784
119,552628667315417088
120,558811895734358016
121,555909264984657921
122,551252699183067136
123,556979000397291520
124,554438015662432258
125,560473103319728129
126,555576219333193728
127,555576305064759296
128,561566101117894656
129,556735091410759681
130,560918567613644800
131,550499107480297472
132,550848673006239744
133,556715655094108160
134,555241292335435776
135,561012735828582400
136,550556515606597632
137,555835261536333824
138,557675406581829633
139,558283116671152129
140,554970012466024448
141,556622530954682368
142,556366693212364800
143,552947962901716993
144,552948878988034050
145,553089952708591616
146,550518222043480064
147,551953376356089856
148,556153500510736387
149,556866106485661698
150,557353031079972865
151,550898672142405632
152,559254358182100992
153,571019763129778176
154,565343866627555331
155,563534203158290433
156,562728801848008706
157,564639038150569984
158,570784926422986752
159,570784968844189698
160,570785795965116416
161,570785879951671296
162,570785985853837312
163,570618550605520896
164,570628244665294848
