,tweet_id
1,571196856862183424
2,591379435330338817
3,564544889510445056
4,587107805628387328
5,552942679966121985
6,545453059950641152
7,578196401823207424
8,550825787688226816
9,555133499225546756
10,544116608432484352
11,614508174020882433
12,587293170297257984
13,606671262094639105
14,597040180504240128
15,608426618453958658
16,536407098364801025
17,554088650892660736
18,584997499376533504
19,613914353839046656
20,611646224693895168
21,568459132237447168
22,606858411813310464
23,519209769119547392
24,521692027545997312
25,568172203709083648
26,575393454865383426
27,570014113901838337
28,576591199802376192
29,520626511330938883
30,566967222711513088
31,580840322625847296
32,585102567086170113
33,583397186282528768
34,579007427321806848
35,552045708225032193
36,592708003373195264
37,581271830394245120
38,554435755104538624
39,609250986746605568
40,608474477727502336
41,607766319799222272
42,530920885897940992
43,585095406780084226
44,538506383411675136
45,578302038674677762
46,525459009848242176
47,597552022947110913
48,593842783372324865
49,540298165657030656
50,601950511584190465
51,572449990284455936
52,555028682679812097
53,607314993240002560
54,581574656924233729
55,550898672142405632
56,538460206393745410
57,613731264051441664
58,521012412729028608
59,593222168659496960
60,583653281500651520
61,611366694414475264
62,593567596341010436
63,554451480217124864
64,593853085392445441
65,583671576459083778
66,542873800212492291
67,566810352394833923
68,583339434491416576
69,542917474724118528
70,557037226035777536
71,576640582363299840
72,552277140956545024
73,559450210091671552
74,555551169620475906
75,558047245908840448
76,536588574335193088
77,546130976368496640
78,610656887135162369
79,522426528135532546
80,562683622344654848
81,600487247587115008
82,521022155241181184
83,537022938772692992
84,579103709927485440
85,611205498721800192
86,524737187141533696
87,525621355320848386
88,581130782418161664
89,548943338783907841
90,579011444848472064
91,598929955980840960
92,588075797233213440
93,519661155766128642
94,613534197207158785
95,517482571945738241
96,587119516695539712
97,580780458612547585
98,538345851635380224
99,578551913974788097
100,543963802254196736
101,532313443450093568
102,597054521064476672
103,581911541672464384
104,522145160222629889
105,574653570118721536
106,589634503506796544
107,545042873142771712
108,596132921683107840
109,539460610459975680
110,596802099842719744
111,554360814841253888
112,561201102948155394
113,524753275040854017
114,524766035720044544
115,544828649816719360
116,574916683648888832
117,556148170158526464
118,599602330942705664
119,601173113485664256
120,612050256482672640
121,561971283886608386
122,561967249800851457
123,582294469992669184
124,529374879326277632
125,554057000867598337
126,542885077542129665
127,527129670652022784
128,602664490346283008
129,570343433698570240
130,581255951535214592
131,593495345881030656
132,580420595671830528
133,605828139713851392
134,603763190854524929
135,554813010578251776
136,533126588036960256
137,598659207345217536
138,593742324670279680
139,585574512370049024
140,543091175125577728
141,567546714400505856
142,526398507318788096
143,560918567613644800
144,614270671489748992
145,581285287348736000
146,530542240280899584
147,544194494108033024
148,605481975667752960
149,553613496223428608
150,570092611907813376
151,534770839208869888
152,599186741761806336
153,586690404726116353
154,534904371138416640
155,542539381438169088
156,538458433981530113
157,578386938140442625
158,538850314099519488
159,613156423577534466
160,594522042365423616
161,558681953445351424
162,613178906796015617
163,562369296605937666
164,552905700314468352
165,541397259619807234
166,583856426319220736
167,574070308493119490
168,567190990016897026
169,572914096972152832
170,550422602976874496
171,518864398275067904
172,581229042441011201
173,582606346249330688
174,573304521180499969
175,614248298384367621
176,603224652928819200
177,612029236287774720
178,558660091831144448
179,598954012008919040
180,545069682072760321
181,576271831361069058
182,583032182806974464
183,576106763730173954
184,530557680549896195
185,603925875571171329
186,549644991157788673
187,542075580444082176
188,571556610612584448
189,588835428825829378
190,562470577059803136
191,604238192481562625
192,555872894471782400
193,614634435569299458
194,587697878333808641
195,532738601797562370
196,571558564680093696
197,595417138522906624
198,577653989266731008
199,600028154711973888
200,551422811034902530
201,587446184605683712
202,588177007961317377
203,581246244565049344
204,546910885352984576
205,527883675674112000
206,538029329939439616
207,600659866609324032
208,576965219139878912
209,594705582143053824
210,566810594569752578
211,546058407107899393
212,569567832981315585
213,542041425291272192
214,539607580788940801
215,575088592806146048
216,604441275455152129
217,587086960935772160
218,524104389112631296
219,563203732804870144
220,573915615888457729
221,521003074601889792
222,595430597755064320
223,596662595874086913
224,605870704966238208
225,583759534952419328
226,519989162959589376
227,585873374028636161
228,548353336152715265
229,589833539090157571
230,570621551302684672
231,610885993638555649
232,518926764429824000
233,537688831701823489
234,564187636018216960
235,572651081085296640
236,559709455722762241
237,586683166422892544
238,581291868295696384
239,605609060772257793
240,537414048275791872
241,572245674252742656
242,591802424899186688
243,544294971575377920
244,601369154592055296
245,604055778190872576
246,565019638057406464
247,519258343102087168
248,570084828739190785
249,606088893042184194
250,551900202551226369
251,557399814896623616
252,520984161398816768
253,538716113593720832
254,614344660073455616
255,615971355134193664
256,576963592366395392
257,611355509992607745
258,596382975496953856
259,595032217149165568
260,556483370491064320
261,540713609597579267
262,566254574286405632
263,523280267486986240
264,517301677511045121
265,606313138171092992
266,602466083199660032
267,578405352791638017
268,585961854528311296
269,572492764484644864
270,518156133232410625
